Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
17-000322,Theft,03/12/17 1714,NA,03/12/17 1714,Memorial Union,Open
17-000325,Drug Violation,03/14/17 0109,03/14/17 0109,03/14/17 0109,South Franklin Avenue and Lincoln Way,Arrest
17-000326,Drug Violation,03/14/17 1607,03/14/17 1607,03/14/17 1607,Armory Building,Open
17-000328,Disorderly Conduct/Public Intoxication,03/18/17 0125,03/18/17 0125,03/18/17 0125,48 Schilletter Village,Arrest
17-000329,Criminal Trespass,03/18/17 0138,03/18/17 0138,03/18/17 0138,45 Schilletter Village,Open
17-000330,Public Intoxication,03/18/17 0233,03/18/17 0233,03/18/17 0233,Lot 89,Arrest
17-000331,Burglary,03/18/17 1211,NA,03/18/17 1211,1344 Walton Drive,Open
17-000332,Theft,03/18/17 1855,NA,03/18/17 1855,Armory Building,Open
17-000333,Harassment,03/18/17 2013,03/18/17 2013,03/18/17 2013,35 Frederiksen Court,Open
17-000334,Operating while Intoxicated,03/19/17 0216,03/19/17 0216,03/19/17 0216,Country Club Boulevard and Gaskill Drive,Arrest
17-000335,Drug Violation,03/19/17 0453,03/19/17 0453,03/19/17 0453,Arbor Street and State Avenue,Arrest
17-000336,Harassment,03/19/17 2307,03/19/17 2307,03/19/17 2307,Friley Hall,Open
17-000338,Harassment,03/20/17 0854,NA,03/20/17 0854,Catt Hall,Open
17-000339,Drug Violation,03/20/17 1348,NA,03/28/17 1001,611 Kellogg Avenue,Arrest
17-000340,Drug Violation,03/20/17 1348,NA,03/20/17 1348,Armory Building,Open
17-000341,Drug Violation,03/20/17 1348,NA,03/20/17 1348,Armory Building,Open
17-000342,Drug Violation,03/20/17 1524,03/20/17 1524,03/20/17 1524,Lot 72A,Arrest
17-000346,Theft,03/21/17 1707,NA,03/21/17 1707,51 Frederiksen Court,Open
17-000347,Theft,03/22/17 1628,NA,03/22/17 1628,2229 Lincoln Way,Open
17-000349,Drug Violation,03/22/17 2233,03/22/17 2233,03/22/17 2233,Armory Building,Open
17-000350,Harassment,03/23/17 0028,03/23/17 0028,03/23/17 0028,21 Frederiksen Court,Open
17-000351,Burglary,03/23/17 0734,NA,03/23/17 0734,Lot 61G,Open
17-000353,Harassment,03/23/17 1244,03/23/17 1244,03/23/17 1244,Roberts Hall,Open
17-000354,Theft,03/23/17 1525,NA,03/23/17 1525,Memorial Union,Open
17-000355,Public Intoxication,03/24/17 0119,03/24/17 0119,03/24/17 0119,Lincoln Way and South Wilmoth Avenue,Arrest
17-000356,Operating while Intoxicated,03/24/17 0145,03/24/17 0145,03/24/17 0145,Gray Avenue and Lincoln Way,Arrest
17-000357,Public Intoxication,03/24/17 0234,03/24/17 0234,03/24/17 0234,Arbor Street and South Sheldon Avenue,Arrest
17-000358,Harassment,03/24/17 0833,NA,03/24/17 0833,Armory Building,Open
17-000359,Theft,03/24/17 1245,NA,03/24/17 1245,Lot S8,Open
17-000360,Drug Violation,03/24/17 1518,03/24/17 1518,03/24/17 1518,Armory Building,Open
17-000361,Theft,03/24/17 1731,01/16/18 1126,03/24/17 1731,Lot S6,Open
17-000362,Criminal Trespass/Drug Violation,03/24/17 2219,03/24/17 2219,NA,Lot 122,Arrest
17-000363,Public Intoxication/Alcohol Violation/Unlawful Use of License,03/25/17 0109,03/25/17 0109,03/25/17 0109,Knapp Street and Stanton Avenue,Arrest
17-000364,Public Intoxication,03/25/17 0155,03/25/17 0155,03/25/17 0155,Morrill Road North and Pammel Drive,Arrest
17-000365,Public Intoxication,03/25/17 0308,03/25/17 0308,03/25/17 0308,Wallace Hall,Arrest
17-000368,Theft,03/25/17 2054,NA,03/25/17 2054,Wallace Wilson Commons,Open
17-000369,Harassment,03/25/17 2101,03/25/17 2101,03/25/17 2101,Friley Hall,Open
17-000370,Vandalism,03/26/17 0041,NA,03/26/17 0041,Wallace Hall,Open
17-000371,Operating while Intoxicated,03/26/17 0108,03/26/17 0108,03/26/17 0108,Lot 63,Arrest
17-000372,Burglary,03/26/17 0413,NA,03/26/17 0413,Lot 202D,Open
17-000373,Vandalism,03/26/17 1541,NA,03/26/17 1541,Larch Hall,Open
17-000374,Theft,03/26/17 1821,NA,03/26/17 1821,Lot S6,Open
17-000376,Theft,03/27/17 1426,NA,03/27/17 1426,Lot S5,Open
17-000377,Drug Violation,03/27/17 1511,NA,03/27/17 1511,Armory Building,Open
17-000378,Driving Violation,03/27/17 1840,03/27/17 1840,03/27/17 1840,East Campus Parking Deck,Arrest
17-000381,Driving Violation,03/28/17 0426,03/28/17 0426,03/28/17 0426,South 16th Street and Apple Place,Arrest
17-000382,Vandalism,03/28/17 1302,NA,03/28/17 1302,Transportation Services,Open
17-000383,Drug Violation,03/28/17 2114,03/28/17 2114,03/28/17 2114,Armory Building,Open
17-000384,Operating while Intoxicated,03/29/17 0156,03/29/17 0156,03/29/17 0156,South 16th Street and Creekside Drive,Arrest
17-000385,Vandalism,03/29/17 0513,NA,03/29/17 0513,Coover Hall,Open
17-000386,Harassment,03/29/17 1901,03/29/17 1901,03/29/17 1901,Buchanan Hall,Open
17-000387,Drug Violation,03/29/17 2048,03/29/17 2048,03/29/17 2048,62 Frederiksen Court,Open
17-000388,Assault,03/29/17 2143,03/29/17 2143,03/29/17 2143,Willow Hall,Open
17-000389,Operating while Intoxicated,03/30/17 0136,03/30/17 0136,03/30/17 0136,126 Welch Avenue,Arrest
17-000390,Public Intoxication,03/30/17 0201,03/30/17 0201,03/30/17 0201,Arbor Street and State Avenue,Arrest
17-000391,Vandalism,03/30/17 1337,NA,03/30/17 1337,Wilson Hall,Open
17-000392,Harassment,03/30/17 1700,03/30/17 1700,03/30/17 1700,Friley Hall,Open
17-000393,Alcohol Violation,03/31/17 0026,03/31/17 0026,03/31/17 0026,Storm Street and Welch Avenue,Arrest
17-000394,Operating while Intoxicated,03/31/17 0156,03/31/17 0156,03/31/17 0156,Hayward Avenue and Storm Street,Arrest
17-000395,Operating while Intoxicated/Drug Violation,03/31/17 0250,03/31/17 0250,03/31/17 0250,Lot 61A,Arrest
17-000396,Theft,03/31/17 1032,NA,03/31/17 1032,42 Frederiksen Court,Open
17-000397,Drug Violation/Alcohol Violation,03/31/17 2256,03/31/17 2256,03/31/17 2256,Lot 50B,Arrest
17-000398,Public Intoxication,04/01/17 0115,04/01/17 0115,04/01/17 0115,Hyland Avenue and West Street,Arrest
17-000399,Public Intoxication/Disorderly Conduct,04/01/17 0149,04/01/17 0149,04/01/17 0149,Ames Intermodel Facility,Arrest
17-000400,Public Intoxication/Disorderly Conduct/Harassment,04/01/17 0224,04/01/17 0224,04/01/17 0224,Foutainview Apartments,Arrest
17-000401,Vandalism,04/01/17 0812,NA,04/01/17 0812,Lot 61H,Open
17-000402,Vandalism,04/01/17 1342,NA,04/01/17 1342,Morrill Hall,Open
17-000403,Public Intoxication,04/01/17 2246,04/01/17 2246,04/01/17 2246,Hunt Street and Welch Avenue,Arrest
17-000405,Vandalism,04/02/17 1316,NA,04/02/17 1316,Lot 6,Open
17-000407,Drug Violation,04/02/17 1409,04/02/17 1409,04/02/17 1409,Lake LaVerne,Open
17-000411,Harassment,04/03/17 1332,04/03/17 1332,04/03/17 1332,Helser Hall,Open
17-000412,Harassment,04/04/17 1519,04/04/17 1519,04/04/17 1519,Parks Library,Open
17-000413,Vandalism,04/04/17 1915,NA,04/04/17 1915,Freeman Hall,Open
