Case Number,Classification,Date/Time Reported,Earliest Occurrence,Latest Occurrence,General Location,Disposition
18-000603,Theft,05/29/18 0948,NA,NA,Physics Hall,Open
18-000606,Theft,05/29/18 1824,NA,05/29/18 1824,Lincoln Way,Open
18-000608,Drug Violation / Liquor Law Violation / Traffic Violation,05/31/18 0058,05/31/18 0058,05/31/18 0058,Lincoln Way and University Boulevard,Arrest
18-000609,Fraud,05/31/18 1211,05/31/18 1211,05/31/18 1211,Veterinary Medicine,Open
18-000610,Public Intoxication,06/01/18 0216,06/01/28 0216,06/01/18 0216,2410 Chamberlain Street,Arrest
18-000612,Traffic Violation,06/03/18 0106,06/03/18 0106,06/03/18 0106,Beach Avenue and Lincoln Way,Arrest
18-000613,Theft,06/04/18 1240,NA,06/04/18 1240,Carver Hall,Open
18-000614,Theft,06/05/18 0803,NA,06/05/18 0803,53 Frederiksen Court,Open
18-000616,Theft,06/05/18 1408,06/05/18 1408,06/05/18 1408,Memorial Union Parking Ramp,Open
18-000617,Theft,06/06/18 0947,NA,06/06/18 0947,Elings Hall,Open
18-000618,Public Intoxication,06/07/18 0138,06/07/18 0138,06/07/18 0138,Mortensen Road and State Avenue,Arrest
18-000621,Operating while Intoxicated / Drug Violation,06/08/18 0220,06/08/18 0220,06/08/18 0220,Campus Avenue and West Street,Arrest
18-000622,Theft,06/08/18 1254,NA,06/08/18 1254,Lot 93,Unfounded
18-000623,Drug Violation,06/08/18 1817,06/08/18 1817,06/08/18 1817,Knapp Street and South Sheldon Avenue,Referral
18-000624,Vandalism,06/09/18 2210,NA,06/09/18 2210,Lot 72A,Open
18-000625,Burglary,06/11/18 0630,NA,06/11/18 0630,Freeman Hall,Open
18-000625,Burglary,06/11/18 0630,NA,06/11/18 0630,Freeman Hall,Open
18-000627,Driving Violation,06/11/18 1119,06/11/18 1119,06/11/18 1119,Cyride Drive and North University Boulevard,Cited
18-000628,Theft,06/11/18 2018,NA,06/11/18 2018,State Gymnasium,Recovered
18-000629,Hit and Run,06/12/18 0956,NA,06/12/18 0956,Lot 10,Open
18-000630,Driving Violation,06/13/18 0253,06/13/18 0253,06/13/18 0253,Mortensen Road and South Dakota Avenue,Cited
18-000631,Drug Violation,06/13/18 2142,06/13/18 2142,06/13/18 2142,122 University Village,Arrest
18-000632,Operating while Intoxicated,06/14/18 0123,06/14/18 0123,06/14/18 0123,Lincoln Way and North Dakota Avenue,Arrest
18-000635,Driving Violation,06/15/18 0209,06/15/18 0209,06/15/18 0209,Franklin Avenue and Lincoln Way,Arrest
18-000637,Theft,06/15/18 1206,NA,06/15/18 1206,2229 Lincoln Way,Open
18-000640,Alcohol Violation,06/15/18 2310,06/15/18 2310,06/15/18 2310,Ash Avenue and Knapp Street,Arrest
18-000641,Operating while Intoxicated,06/16/18 0211,06/16/18 0211,06/16/18 0211,South 4th Street and Hazel Avenue,Arrest
18-000642,Operating while Intoxicated,06/16/18 0244,06/16/18 0244,06/16/18 0244,Howard Avenue and Lincoln Way,Arrest
18-000644,Drug Violation,06/17/18 2132,06/17/18 2132,06/17/18 2132,Ash Avenue and Knapp Street,Arrest
18-000645,Operating while Intoxicated,06/18/18 0208,06/18/18 0208,06/18/18 0208,Dotson Drive and Dotson Place,Arrest
18-000646,Driving Violation,06/19/18 0056,06/19/18 0056,06/19/18 0056,Baughman Road and Beedle Drive,Cited
18-000647,Driving Violation,06/19/18 0637,06/19/18 0637,06/19/18 0637,Lincoln Way and Morrill Road,Cited
18-000648,Burglary,06/19/18 1357,NA,06/19/18 1357,171 University Village,Open
18-000649,Theft,06/19/18 1653,NA,06/19/18 1653,Veterinary Medicine,Open
18-000652,Operating while Intoxicated,06/21/18 0238,06/21/18 0238,06/21/18 0238,Beach Avenue and Lincoln Way,Arrest
18-000656,Vandalism,06/21/18 1414,NA,06/21/18 1414,Coover Hall,Open
18-000655,Hit and Run,06/21/18 1558,NA,06/21/18 1558,Lot B5,Open
18-000658,Drug Violation,06/22/18 0758,06/22/18 0758,06/22/18 0758,1635 Amherst Drive,Arrest
18-000659,Operating while Intoxicated,06/23/18 0227,06/22/18 0227,06/22/18 0227,Beedle Drive and Lincoln Swing,Arrest
18-000660,Operating while Intoxicated,06/23/18 0258,06/23/18 0258,06/23/18 0258,Colorado Avenue and Story Street,Arrest
18-000661,Operating while Intoxicated,06/24/18 0203,06/24/18 0203,06/24/18 0203,South 16th Street and South Grand Avenue,Arrest
18-000662,Drug Violation,06/26/18 0128,06/26/18 0128,06/26/18 0128,Mortensen Road and State Avenue,Arrest
18-000668,Operating while Intoxicated,06/27/18 0223,06/27/18 0223,06/27/18 0223,100 Campus Avenue,Arrest
18-000669,Driving Violation,06/27/18 0636,06/27/18 0636,06/27/18 0636,Hayward Avenue and Storm Street,Arrest
18-000700,This is a Test,06/27/18 1454,06/27/18 1454,06/27/18 1454,Armory Building,Open
18-000670,Hit and Run,06/27/18 1844,NA,06/27/18 1844,13th Street and Stange Road,Open
18-000671,Criminal Mischief,06/28/18 0851,NA,06/28/18 0851,Hilton Coliseum,Open
18-000676,Drug Violation,06/28/18 2250,06/28/18 2250,06/28/18 2250,13th Street and Stange Road,Cited
18-000677,Driving Violation,06/30/18 0057,06/30/18 0057,06/30/18 0057,Lot 111,Cited
18-000678,Operating while Intoxicated,06/30/18 0257,06/30/18 0257,06/30/18 0257,3151 State Avenue,Arrest
18-000679,Public Intoxication,07/01/18 0213,07/01/18 0213,07/01/18 0213,Memorial Union,Arrest
18-000681,Theft,07/02/18 1020,NA,07/02/18 1020,2415 Pammel Drive,Open
18-000682,Criminal Trespass,07/02/18 1213,NA,07/02/18 1213,122 University Village,Cited
18-000683,Fraud,07/02/18 1342,NA,07/02/18 1342,Memorial Union,Open
18-000685,Theft,07/03/18 1522,NA,07/03/18 1522,119 Stanton Avenue,Open
18-000689,Public Intoxication,07/05/18 0205,07/05/18 0205,07/05/18 0205,Pearson Avenue and Sunset Drive,Arrest
18-000690,Criminal Mischief,07/05/18 0336,NA,07/05/18 0336,Lot 202G,Open
18-000692,Drug Violation,07/05/18 1841,07/05/18 1841,07/05/18 1841,115 University Village,Arrest
18-000694,Operating while Intoxicated,07/07/18 0245,07/07/18 0245,07/07/18 0245,Ontario Street and Woodstock Avenue,Arrest
18-000696,"Criminal Mischief, Theft, Assault",07/09/18 0747,NA,07/09/18 0747,Disc Golf Course,Arrest
18-000700,Theft,07/10/18 0838,NA,07/10/18 0838,23 Frederiksen Court,Open
18-000701,Theft,07/10/18 1433,NA,07/10/18 1433,42 Frederiksen Court,Open
18-000705,Criminal Mischief,07/12/18 0058,NA,07/12/18 0058,Ames Intermodal Facility,Open
18-000706,Operating While Intoxicated/Driving Violation/Drug Violation,07/12/18 0314,07/12/18 0314,07/12/18 0314,Mortensen Road and State Avenue,Arrest
18-000710,Drug Violation,07/17/18 0045,07/17/18 0045,07/17/18 0045,Mortensen Road and State Avenue,Arrest
18-000711,Theft,07/17/18 1457,NA,07/17/18 1457,Lot 52,Open
18-000712,Domestic Dispute,07/18/18 0000,07/11/18 0000,07/18/18 0000,111 University Village,Open
18-000714,Public Intoxication,07/20/18 0242,07/20/18 0242,07/20/18 0242,Mortensen Road and State Avenue,Arrest
18-000715,Criminal Trespass/Assault/Harassment/Disorderly Conduct,07/20/18 0933,07/20/18 0933,07/20/18 0933,Student Innovation Center,Arrest
18-000716,Drug Violation/Driving Violation,07/21/18 0127,07/21/18 0127,07/21/18 0127,100 block of Hyland Avenue,Arrest
18-000717,Operating While Intoxicated/Driving Violation/Open Container,07/21/18 0159,07/21/18 0159,07/21/18 0159,3510 Lincoln Way,Arrest
18-000718,Public Intoxication,07/21/18 2251,07/21/18 2251,07/21/18 2251,Mortensen Road and State Avenue,Arrest
18-000719,Public Intoxication/Unlawful Use of License/Theft,07/22/18 0127,07/22/18 0127,07/22/18 0127,Ash Avenue and Gable Lane,Arrest
18-000720,Operating While Intoxicated,07/22/18 0228,07/22/18 0228,07/22/18 0228,Arbor Street and South Sheldon Avenue,Arrest
18-000721,Drug Violation/Driving Violation,07/23/18 0358,07/23/18 0358,07/23/18 0358,Beach Avenue and Sunset Drive,Arrest
18-000726,Public Intoxication,07/27/18 0210,07/27/18 0210,07/27/18 0210,Chamberlain Street and Stanton Avenue,Arrest
18-000727,Operating While Intoxicated,07/27/18 2305,07/27/18 2305,07/27/18 2305,Campus Avenue and West Street,Arrest
18-000731,Theft,08/01/18 0506,NA,08/01/18 0506,Lot 16,Open
18-000733,Driving Violation,08/02/18 2129,NA,08/02/18 2129,Beach Avenue and Lincoln Way,Cited
18-000734,Theft,08/03/18 0834,NA,08/03/18 0834,Wilson Hall,Open
18-000735,Operating While Intoxicated/Driving Violation,08/04/18 0149,08/04/18 0149,08/04/18 0149,Lincoln Way and S. Maple Drive,Arrest
18-000736,Public Intoxication,08/04/18 0224,08/04/18 0224,08/04/18 0224,Wilson Hall,Arrest
18-000738,Criminal Mischief,08/05/18 0553,NA,08/05/18 0553,Lot B3,Open
18-000739,Theft,08/05/18 1356,NA,08/05/18 1356,Lot 201M,Open
18-000740,Public Intoxication,08/06/18 0606,08/06/18 0606,08/06/18 0606,Maple Willow Larch Commons,Closed
18-000741,Harassment,08/08/18 1058,NA,08/08/18 1058,Beardshear Hall,Open
18-000742,Operating While Intoxicated,08/10/18 0143,08/10/18 0143,08/10/18 0143,Colorado Avenue and Lincoln Way,Arrest
18-000743,Operating While Intoxicated,08/10/18 0212,08/10/18 0212,08/10/18 0212,3605 Lincoln Way,Arrest
18-000744,Operating While Intoxicated,08/10/18 2147,08/10/18 2147,08/10/18 2147,1300 Coconino Road,Arrest
18-000745,Operating While Intoxicated,08/11/18 0244,08/11/18 0244,08/11/18 0244,Howard Avenue and Story Street,Arrest
18-000747,Alcohol Violation,08/11/18 1724,08/11/18 1724,08/11/18 1724,Knapp Street and Welch Avenue,Cited
18-000748,Public Intoxication,08/12/18 0137,08/12/18 0139,08/12/18 0139,Sheldon Avenue and Union Drive,Arrest
18-000749,Harassment,08/13/18 1129,NA,08/13/18 1129,University Village,Open
18-000750,Operating While Intoxicated,08/14/18 0220,08/14/18 0220,08/14/18 0220,South Dayton Avenue and US Highway 30 Ramp,Arrest
18-000751,Criminal Mischief,08/15/18 0001,NA,08/15/18 0001,Memorial Union,Open
18-000753,Public Intoxication,08/16/18 0055,08/16/18 0055,08/16/18 0055,Larch Hall,Arrest
18-000754,Operating While Intoxicated,08/16/18 0136,08/16/18 0136,08/16/18 0136,Christensen Drive and South 16th Street,Arrest
18-000755,Burglary/Theft/Criminal Mischief,08/16/18 0312,NA,08/16/18 0312,317 Lynn Avenue,Arrest
18-000757,Criminal Mischief,08/16/18 1142,NA,08/16/18 1142,Friley Hall,Open
18-000758,Driving Violation,08/16/18 1456,08/16/18 1456,08/16/18 1456,Blankenburg Drive and Long Road,Cited
18-000759,Alcohol Violation,08/16/18 2200,08/16/18 2200,08/16/18 2200,Lot 62,Cited
18-000760,Alcohol Violation,08/16/18 2227,08/16/18 2227,08/16/18 2227,Knapp Street and Lynn Avenue,Cited
18-000761,Operating While Intoxicated,08/17/18 0148,08/17/18 0148,08/17/18 0148,Center Drive and University Boulevard,Arrest
18-000762,Alcohol Violation,08/17/18 1836,08/17/18 1836,08/17/18 1836,Knapp Street and Lynn Avenue,Cited
18-000763,Alcohol Violation,08/17/18 2049,08/17/18 2049,08/17/18 2049,200 S. Sheldon Avenue,Cited
18-000764,Alcohol Violation,08/17/18 2202,08/17/18 2202,08/17/18 2202,Lot 62,Cited
18-000803,Theft,08/18/18 0044,08/18/18 0044,08/18/18 0044,Jack Trice Football Stadium,Opem
18-000804,Public Intoxication,08/18/18 0137,08/18/18 0137,08/18/18 0137,210 Gray Avenue,Arrest
18-000806,Operating While Intoxicated,08/18/18 0153,08/18/18 0153,08/18/18 0153,3515 Lincoln Way,Arrest
18-000807,Assault,08/18/18 0223,08/18/18 0223,08/18/18 0223,119 Stanton Avenue,Open
18-000766,Public Intoxication,08/18/18 0236,08/18/18 0236,08/18/18 0236,115 Welch Avenue,Arrest
18-000809,Theft,08/18/18 0722,08/18/18 0722,08/18/18 0722,31 Frederiksen Court,Open
18-000767,Alcohol Violation,08/18/18 0929,08/18/18 0929,08/18/18 0929,2300 Knapp Street,Cited
18-000769,Alcohol Violation,08/18/18 1044,08/18/18 1044,08/18/18 1044,Ash Avenue and Sunset Drive,Cited
18-000768,Alcohol Violation,08/18/18 1045,08/18/18 1045,08/18/18 1045,Knapp Street and Welch Avenue,Cited
18-000770,Alcohol Violation,08/18/18 1053,08/18/18 1053,08/18/18 1053,Ash Avenue and Sunset Drive,Cited
18-000773,Alcohol Violation,08/18/18 1054,08/18/18 1054,08/18/18 1054,Ash Avenue and Gable Lane,Cited
18-000771,Alcohol Violation,08/18/18 1101,08/18/18 1101,08/18/18 1101,Gable Lane and Gray Avenue,Cited
18-000772,Alcohol Violation,08/18/18 1109,08/18/18 1109,08/18/18 1109,Ash Avenue and Knapp Street,Cited
18-000774,Alcohol Violation,08/18/18 1112,08/18/18 1112,08/18/18 1112,Knapp Street and South Sheldon Avenue,Cited
18-000776,Alcohol Violation,08/18/18 1129,08/18/18 1129,08/18/18 1129,Knapp Street and Welch Avenue,Cited
18-000813,Theft,08/18/18 1130,NA,08/18/18 1130,Black Engineering Building,Open
18-000775,Alcohol Violation,08/18/18 1131,08/18/18 1131,08/18/18 1131,Intermodal Facility,Cited
18-000779,Public Intoxication,08/18/18 1151,08/18/18 1151,08/18/18 1151,Baker Street and Stanton Avenue,Arrest
18-000777,Alcohol Violation,08/18/18 1159,08/18/18 1159,08/18/18 1159,Chamberlain Street and Lynn Avenue,Cited
18-000781,Alcohol Violation,08/18/18 1211,08/18/18 1211,08/18/18 1211,2631 Hunt Street,Cited
18-000780,Alcohol Violation,08/18/18 1219,08/18/18 1219,08/18/18 1219,Chamberlain Place and Chamberlain Street,Cited
18-000782,Alcohol Violation,08/18/18 1226,08/18/18 1226,08/18/18 1226,Hunt Street and South Sheldon Avenue,Cited
18-000783,Alcohol Violation,08/18/18 1230,08/18/18 1230,08/18/18 1230,Hunt Street and South Sheldon Avenue,Cited
18-000784,Alcohol Violation,08/18/18 1237,08/18/18 1237,08/18/18 1237,Pearson Avenue and Sunset Drive,Cited
18-000785,Alcohol Violation,08/18/18 1244,08/18/18 1244,08/18/18 1244,Lynn Avenue and Storm Street,Cited
18-000786,Alcohol Violation,08/18/18 1253,08/18/18 1253,08/18/18 1253,Country Club Boulevard and Pearson Avenue,Cited
18-000787,Alcohol Violation,08/18/18 1303,08/18/18 1303,08/18/18 1303,120 Hayward Avenue,Cited
18-000788,Alcohol Violation,08/18/18 1314,08/18/18 1314,08/18/18 1314,Knapp Street and Stanton Avenue,Cited
18-000790,Alcohol Violation,08/18/18 1316,08/18/18 1316,08/18/18 1316,Arbor Street and South Sheldon Avenue,Cited
18-000789,Alcohol Violation,08/18/18 1321,08/18/18 1321,08/18/18 1321,Little Street and Welch Avenue,Cited
18-000793,Public Intoxication,08/18/18 1328,08/18/18 1328,08/18/18 1328,Buchanan Hall,Arrest
18-000791,Alcohol Violation,08/18/18 1330,08/18/18 1330,08/18/18 1330,Intermodal Facility,Cited
18-000792,Public Intoxication,08/18/18 1331,08/18/18 1331,08/18/18 1331,2324 Storm Street,Arrest
18-000811,Sexual Assault,08/18/18 1416,08/18/18 1416,08/18/18 1416,Not Available,Open
18-000794,Public Intoxication,08/18/18 1428,NA,08/18/18 1428,400 Welch Avenue,Arrest
18-000816,Theft,08/18/18 1628,NA,08/18/18 1628,Birch Hall,Open
18-000796,Theft,08/18/18 1642,08/18/18 1642,08/18/18 1642,Gerdin Business Building,Open
18-000797,Alcohol Violation,08/18/18 1701,08/18/18 1701,08/18/18 1701,Ash Avenue and Gable Lane,Cited
18-000817,Theft,08/18/18 1727,NA,08/18/18 1727,Birch Hall,Open
18-000818,Drug Violation,08/18/18 1826,08/19/16 1826,08/18/18 1826,214 South Hyland Avenue,Arrest
18-000798,Alcohol Violation,08/18/18 1838,08/18/18 1838,08/18/18 1838,Linden Hall,Cited
18-000799,Alcohol Violation,08/18/18 2119,08/18/18 2119,08/18/18 2119,Ash Avenue and Knapp Street,Cited
18-000819,Theft,08/18/18 2132,NA,08/18/18 2132,Maple Hall,Open
18-000800,Alcohol Violation,08/18/18 2140,08/18/18 2140,08/18/18 2140,Knapp Street and Welch Avenue,Cited
18-000801,Alcohol Violation,08/18/18 2225,08/18/18 2225,08/18/18 2225,Knapp Street and Stanton Avenue,Cited
18-000802,Alcohol Violation,08/18/18 2228,08/18/18 2228,08/18/18 2228,Intermodal Facility,Cited
18-000820,Harassment,08/22/18 0824,NA,08/22/18 0824,Not Available,Open
18-000822,Driving Violation,08/23/18 1651,08/23/18 1651,08/23/18 1651,Knapp Street and South Sheldon Avenue,Arrest
18-000823,Scam,08/23/18 1829,NA,08/23/18 1829,119 Stanton Avenue,Open
18-000824,Weapons Violation,08/23/18 2138,08/23/18 2138,08/23/18 0000,32 Fredericksen Court,Open
18-000825,Public Intoxication,08/24/18 0107,08/24/18 0107,08/24/18 0107,Physics Hall,Arrest
18-000826,Public Intoxication,08/24/18 0223,08/24/18 0223,08/24/18 0223,Chamberlain Street and Stanton Avenue,Arrest
18-000827,Hit and Run,08/24/18 1006,NA,08/24/18 1006,Lot 29,Open
18-000829,Theft,08/24/18 1331,NA,08/24/18 1331,Parks Library,Open
18-000830,Theft,08/24/18 1421,NA,08/24/18 1421,2229 Lincoln Way,Open
18-000832,Alcohol Violation,08/24/18 2251,08/24/18 2251,08/24/18 2251,Knapp Street and Welch Avenue,Arrest
18-000833,Public Intoxication,08/25/18 0145,08/25/18 0145,08/25/18 0145,2320 Chamberlain Street,Arrest
18-000834,Public Intoxication,08/25/18 0523,08/25/18 0523,08/25/18 0523,Wallace Hall,Arrest
18-000835,Theft,08/25/18 1022,NA,08/25/18 0000,Parks Library,Open
18-000836,Alcohol Violation,08/25/18 2151,08/25/18 2151,08/25/18 2151,Lot 59A,Arrest
18-000837,Alcohol Violation,08/25/18 2253,08/25/18 2253,08/25/18 2253,Ash Avenue and Gable Lane,Arrest
18-000841,Criminal Mischief,08/26/18 1940,NA,08/26/18 1940,Lot 112C,Open
18-000840,Drug Violation,08/26/18 2011,08/26/18 2011,08/26/18 2011,110 Stanton Avenue,Open
18-000842,Harassment,08/27/18 1144,NA,08/27/18 1144,2239 Knapp Street,Open
18-000843,Theft,08/27/18 1556,NA,08/27/18 1556,Parks Library,Open
18-000845,Criminal Mischief,08/28/18 1014,NA,08/28/18 1014,Agronomy Hall,Open
18-000847,Unlawful Use of License,08/28/18 1621,08/28/18 1621,08/28/18 1621,Bissell Road and Pammel Drive,Cited
18-000848,Hit and Run,08/28/18 1702,NA,08/28/18 1702,Lot B5,Open
18-000849,Driving Violation,08/29/18 0134,08/29/18 0134,08/29/18 0134,Story Street and Westwood Drive,Arrest
18-000851,Harassment,08/29/18 1648,NA,08/29/18 1648,706 Morrill Road,Open
18-000852,Drug Violation,08/29/18 2215,08/29/18 2215,08/29/18 2215,Lot 63,Arrest
18-000854,Public Intoxication,08/30/18 0159,08/30/18 0159,08/30/18 0159,2508 Mortensen Road,Arrest
18-000855,Public Intoxication,08/30/18 0233,08/30/18 0233,08/30/18 0233,117 Welch Avenue,Arrest
18-000856,Fraud,08/30/18 0827,NA,08/30/18 0827,Larch Hall,Open
18-000857,Theft,08/30/18 1149,NA,08/30/18 1149,119 Stanton Avenue,Open
18-000858,Theft,08/30/18 1211,NA,08/30/18 1211,Lyon Hall,Open
18-000853,Public Intoxication,08/30/18 1245,08/30/18 1245,08/30/18 1245,Intermodal Facility,Arrest
18-000859,Theft,08/30/18 1325,NA,08/30/18 1325,Linden Hall,Closed
18-000860,Driving Violation,08/30/18 2151,08/30/18 2151,08/30/18 2151,2400 University Avenue,Arrest
18-000861,Public Intoxication,08/31/18 0100,08/31/18 0100,08/31/18 0100,Chamberlain Street and Welch Avenue,Arrest
18-000862,Theft,08/31/18 0854,08/31/18 0200,08/31/18 0854,Howe Hall,Open
18-000864,Hit and Run,08/31/18 1049,08/31/18 0200,08/31/18 1049,Lot 12,Open
18-000866,Driving Violation,08/31/18 2153,08/31/18 2153,08/31/18 2153,Lincoln Way and South Russell Avenue,Arrest
18-000868,Public Intoxication,09/01/18 1207,09/01/18 1207,09/01/18 1207,Larch Hall,Arrest
18-000870,Alcohol Violation,09/01/18 1419,09/01/18 1419,09/01/18 1419,Lot G2,Arrest
18-000871,Alcohol Violation,09/01/18 1427,09/01/18 1427,09/01/18 1427,Lot G3,Cited
18-000872,Alcohol Violation,09/01/18 1458,09/01/18 1458,09/01/18 1458,Lot G3,Cited
18-000873,Alcohol Violation,09/01/18 1508,09/01/18 1508,09/01/18 1508,Lot G3,Cited
18-000874,Alcohol Violation,09/01/18 1510,09/01/18 1510,09/01/18 1510,Lot G3,Cited
18-000875,Alcohol Violation,09/01/18 1533,09/01/18 1533,09/01/18 1533,Lot G3,Cited
18-000876,Alcohol Violation,09/01/18 1543,09/01/18 1543,09/01/18 1543,Lot G3,Cited
18-000877,Alcohol Violation,09/01/18 1601,09/01/18 1601,09/01/18 1601,Lot G2,Cited
18-000879,Alcohol Violation,09/01/18 1612,09/01/18 1216,09/01/18 1612,Lot G3,Cited
18-000878,Alcohol Violation,09/01/18 1613,09/01/18 1613,09/01/18 1613,Lot G3,Cited
18-000881,Alcohol Violation,09/01/18 1625,09/01/18 1625,09/01/18 1625,Lot G3,Cited
18-000882,Alcohol Violation,09/01/18 1634,09/01/18 1634,09/01/18 1634,Lot G3,Cited
18-000883,Alcohol Violation,09/01/18 1659,09/01/18 1659,09/01/18 1659,Lot G3,Cited
18-000884,Alcohol Violation,09/01/18 1707,09/01/18 1707,09/01/18 1707,Lot D2,Cited
18-000886,Alcohol Violation,09/01/18 1715,09/01/18 1715,09/01/18 1715,South 16th Street and University Boulevard,Cited
18-000885,Alcohol Violation,09/01/18 1717,09/01/18 1717,09/01/18 1717,Lot G3,Cited
18-000887,Public Intoxication,09/01/18 1720,09/01/18 1720,09/01/18 1720,Lot G3,Arrest
18-000889,Alcohol Violation,09/01/18 1731,09/01/18 1731,09/01/18 1731,South 4th Street and South Riverside Drive,Cited
18-000890,Alcohol Violation,09/01/18 1733,09/01/18 1733,09/01/18 1733,Lot G3,Cited
18-000891,Alcohol Violation,09/01/18 1736,09/01/18 1736,09/01/18 1736,Lot G3,Cited
18-000892,Alcohol Violation,09/01/18 1739,09/01/18 1739,09/01/18 1739,Lot G7,Cited
18-000893,Alcohol Violation,09/01/18 1749,09/01/18 1749,09/01/18 1749,Lot G3,Cited
18-000894,Public Intoxication,09/01/18 1753,09/01/18 1753,09/01/18 1753,South 16th Street and University Boulevard,Arrest
18-000895,Alcohol Violation,09/01/18 1758,09/01/18 1758,09/01/18 1758,Lot G3,Cited
18-000897,Alcohol Violation,09/01/18 1803,09/01/18 1803,09/01/18 1803,1732-2 South 4th Street,Cited
18-000898,Alcohol Violation,09/01/18 1807,09/01/18 1807,09/01/18 1807,Lot G3,Cited
18-000899,Alcohol Violation,09/01/18 1819,09/01/18 1819,09/01/18 1819,Lot G3,Cited
18-000900,Alcohol Violation,09/01/18 1825,09/01/18 1825,09/01/18 1825,Lot G3,Cited
18-000901,Alcohol Violation,09/01/18 1830,09/01/18 1830,09/01/18 1830,1732-2 South 4th Street,Cited
18-000902,Alcohol Violation,09/01/18 1833,09/01/18 1833,09/01/18 1833,Lot G3,Cited
18-000904,Public Intoxication,09/01/18 1846,09/01/18 1846,09/01/18 1846,Lot G3,Arrest
18-000903,Alcohol Violation,09/01/18 1849,09/01/18 1849,09/01/18 1849,Lot G3,Cited
18-000905,Alcohol Violation,09/01/18 1851,09/01/18 1851,09/01/18 1851,1732-2 South 4th Street,Cited
18-000907,Public Intoxication,09/01/18 1855,09/01/18 1855,09/01/18 1855,South 16th Street and University Boulevard,Arrest
18-000906,Alcohol Violation,09/01/18 1859,09/01/18 1859,09/01/18 1859,1732-2 South 4th Street,Cited
18-000909,Drug Violation,09/01/18 1907,09/01/18 1907,09/01/18 1907,Buchanan Hall,Cited
18-000908,Alcohol Violation,09/01/18 1919,09/01/18 1919,09/01/18 1919,Lot G3,Cited
18-000910,Criminal Mischief,09/02/18 0026,09/02/18 0026,09/02/18 0026,Friley Hall,Arrest
18-000911,Public Intoxication,09/02/18 0136,09/02/18 0136,09/02/18 0136,Chamberlain Street and Lynn Avenue,Arrest
18-000912,Operating While Intoxicated,09/03/18 0612,09/03/18 0612,09/03/18 0612,Lincoln Way and North Elm Avenue,Arrest
18-000914,Hit and Run,09/04/18 1114,09/04/18 0000,09/04/18 1114,Lot C6,Open
18-000915,Criminal Mischief,09/04/18 1256,09/04/18 0000,09/04/18 1256,Memorial Union,Open
18-000916,Assault,09/04/18 1259,09/04/18 0000,09/04/18 1259,Lot G3,Open
18-000917,Sexual Assault,09/04/18 1727,09/04/18 0000,09/04/18 1727,Martin Hall,Open
18-000919,Hit and Run,09/05/18 1357,09/05/18 0000,09/05/18 1357,Lot 59A,Open
18-000920,Theft,09/05/18 1901,09/05/18 0000,09/05/18 1901,520 Morrill Road,Closed
18-000921,Public Intoxication,09/05/18 2016,09/05/18 2016,09/05/18 2016,CY Stephens Auditorium,Arrest
18-000923,Driving Violation,09/05/18 2157,09/05/18 2157,09/05/18 2157,4018 Lincoln Way,Cited
18-000924,Harassment,09/06/18 1027,09/06/18 0200,09/06/18 1027,Parks Library,Open
18-000925,Theft,09/06/18 1320,09/06/18 0200,09/06/18 1320,2229 Lincoln Way,Arrest
18-000927,Theft,09/06/18 1525,09/06/18 0200,09/06/18 1525,Arboretum,Open
18-000930,Sexual Assault,09/07/18 1012,08/16/18 0000,08/16/18 1012,Fredericksen Court,Open
18-000932,Simple Assault,09/07/18 1552,09/07/18 1552,09/07/18 1552,Buchanan Hall,Arrest
18-000931,Criminal Mischief,09/07/18 1630,NA,09/07/18 1630,Lot S3,Open
18-000933,Theft,09/07/18 1821,NA,09/07/18 1821,Lied Receration Center,Closed
18-000935,Public Intoxication,09/08/18 0202,09/08/18 0202,09/08/18 0202,Lincoln Way and Stanton Avenue,Open
18-000936,Domestic Assault,09/08/18 1616,NA,09/08/18 1616,50 Schilletter Village,Arrest
18-000937,Operating While Intoxicated,09/09/18 0133,09/09/18 0133,09/09/18 0133,1022 Welch Avenue,Arrest
18-000938,Operating While Intoxicated,09/09/18 0141,09/09/18 0141,09/09/18 0141,North Dakota Avenue and Ross Road,Arrest
18-000940,Hit and Run,09/09/18 1844,NA,09/09/18 1844,Lot 67,Open
18-000946,Sexual Assault,09/10/18 0000,08/31/18 2300,09/01/18 0000,Larch Hall,Open
18-000941,Operating While Intoxicated,09/10/18 0140,09/10/18 0140,09/10/18 0140,Hayward Avenue and Mortensen Road,Arrest
18-000942,Driving Violation,09/10/18 0228,09/10/18 0228,09/10/18 0228,Cochrane Parkway and South Dakota Avenue,Cited
18-000945,Theft,09/10/18 1228,08/31/18 1700,09/10/18 1228,Lloyd Veternary Medical Center,Open
18-000947,Theft,09/10/18 1414,NA,09/06/18 2100,Enrollment Services Center,Open
18-000948,Theft,09/10/18 2105,09/10/18 1800,09/10/18 2100,Food Sciences Building,Open
18-000950,Theft,09/11/18 1046,NA,09/11/18 1046,Parks Library,Open
18-000951,Theft,09/11/18 1202,09/08/18 1421,09/08/18 1427,Memorial Union Bookstore,Cited
18-000952,Harassment,09/11/18 1302,09/10/18 0952,09/11/18 1206,Bio Century Research Farm,Open
18-000954,Theft,09/11/18 1703,09/09/18 1600,09/10/18 0940,Larch Hall,Open
18-000953,Criminal Mischief,09/11/18 1748,09/11/18 1530,09/11/18 1748,Lot 36,Open
