date,time,icon,wind,temp_low,temp_high,weather
2017-05-04,6 pm,2,11,57,68,Passing clouds.
2017-05-05,12 am,13,6,45,55,Clear.
2017-05-05,6 am,2,7,46,72,Passing clouds.
2017-05-05,12 pm,2,12,73,79,Passing clouds.
2017-05-05,6 pm,13,6,61,77,Clear.
2017-05-06,12 am,13,9,55,61,Clear.
2017-05-06,6 am,1,11,55,70,Sunny.
2017-05-06,12 pm,2,12,72,73,Passing clouds.
2017-05-06,6 pm,2,6,57,72,Passing clouds.
2017-05-07,12 am,13,2,50,57,Clear.
2017-05-07,6 am,2,4,52,72,Passing clouds.
2017-05-07,12 pm,1,7,73,79,Sunny.
2017-05-07,6 pm,14,8,64,77,Passing clouds.
